point1_x,point1_y,point2_x,point2_y,point3_x,point3_y,point4_x,point4_y,point5_x,point5_y,point6_x,point6_y,point7_x,point7_y,point8_x,point8_y,point9_x,point9_y,point10_x,point10_y,point11_x,point11_y,point12_x,point12_y,point13_x,point13_y,point14_x,point14_y
896.7166748,701.7871094,878.3190918,710.9859619,899.0164185,727.0838623,846.123291,733.9829712,885.2182007,752.3805542,841.5238647,777.6773071,869.1203003,697.1877441,869.1203003,697.1877441,827.725647,697.1877441,802.4289551,736.2826538,912.8146362,738.5823975,825.4259644,793.7752075,931.2122192,782.2766724,887.5178833,819.0718994
897.1538086,705.9657593,880.5171509,712.2044678,901.3129883,724.6820068,849.3233643,735.0799561,884.6762695,757.9553833,838.925415,774.5921021,913.7905273,743.3983154,872.1987915,699.7269897,826.447876,697.6473999,801.4928589,735.0799561,913.7905273,743.3983154,872.1987915,703.8861694,930.4271851,780.8308105,888.8354492,818.2633667
897.4484253,708.6016846,880.6523438,716.0665894,901.1809082,730.99646,848.9263306,738.4614258,884.3847656,760.8562012,841.4614258,777.6523438,875.0536499,714.2003784,873.1873779,712.3341675,828.3977661,695.5380249,802.2705078,736.5952148,908.645813,714.2003784,910.512085,716.0665894,931.0406494,783.2510376,889.9835205,814.9769897
896.2412109,712.3098145,879.2776489,718.6711426,900.4820557,729.2733765,845.3505859,739.8756104,881.3980713,763.2004395,838.9892578,775.9230957,815.6643677,752.5982666,866.5549927,714.4302979,828.3870239,697.4667358,800.8212891,735.6347046,911.0842896,718.6711426,913.2047119,718.6711426,932.2886963,782.2844238,894.1207275,811.9706421
896.3455811,715.7867432,877.1542969,721.020752,898.090271,734.9780273,847.4950562,740.2120361,882.3883057,764.6372681,835.2824097,769.8712769,894.6009521,715.7867432,870.1756592,703.5740967,830.0484009,698.3401489,802.1338501,736.7227173,917.2815552,724.5100708,919.0261841,722.7653809,931.2388306,782.0839233,898.090271,808.2538452
895.5889282,716.7149048,876.6013184,726.2086792,899.3864136,735.7024536,846.2211914,741.3987427,880.3988037,766.0826416,840.5249023,785.0701904,882.2976074,712.9173584,869.0062866,695.8285522,831.0310669,697.7272949,800.6509399,737.6012573,899.3864136,756.5888062,927.8677979,731.9049683,929.7665405,783.1714478,901.2851563,800.2603149
895.1434326,715.7733154,876.9793701,723.8462524,899.1798706,737.973877,844.6876831,742.0103149,878.9976196,768.2473145,840.6512451,784.3931274,885.0523071,707.7004395,868.9064331,691.5545654,828.5418701,695.5910645,800.2866821,737.973877,901.1981201,762.192627,929.4533081,735.9556274,931.4715576,782.3748779,909.2710571,790.4478149
895.2661133,715.746582,875.4614258,727.6293945,899.2270508,739.512207,845.7543945,745.4536133,879.4223633,767.2387695,839.8129883,783.0825195,887.3442383,701.8833008,869.5200195,691.980957,802.184082,735.5512695,802.184082,737.5317383,887.3442383,703.8637695,899.2270508,759.3168945,928.934082,783.0825195,913.090332,791.0043945
893.7215576,719.2894287,878.059082,725.1628418,895.6793823,742.7831421,842.8184814,742.7831421,878.059082,770.1925049,836.9450073,789.7706299,887.8481445,701.6691284,872.1856689,693.8378296,831.0715942,713.4159546,801.7044067,736.909729,887.8481445,699.7113037,927.0043945,740.8253174,928.9622192,783.8972168,885.8903198,787.8128052
892.4354248,722.0837402,872.6645508,728.0150146,894.4124756,741.8545532,843.0083008,743.831665,876.6187134,771.5108032,835.0999756,789.3045654,886.5041504,702.3128662,876.6187134,692.4274902,827.1916504,724.060791,801.489563,735.9233398,920.114563,728.0150146,918.1375122,728.0150146,928.0228882,783.3733521,910.229187,791.2816772
