point1_x,point1_y,point2_x,point2_y,point3_x,point3_y,point4_x,point4_y,point5_x,point5_y,point6_x,point6_y,point7_x,point7_y,point8_x,point8_y,point9_x,point9_y,point10_x,point10_y,point11_x,point11_y,point12_x,point12_y,point13_x,point13_y,point14_x,point14_y
1725.881714,1289.062866,1706.398804,1293.392334,1728.046509,1308.545776,1680.421631,1317.204834,1710.728271,1343.182007,1663.103394,1366.994385,1706.398804,1260.920898,1702.069214,1267.415161,1663.103394,1271.744751,1624.137695,1334.522949,1751.858887,1291.227661,1732.375977,1364.829712,1730.211182,1366.994385,1684.751099,1401.630737
1728.525879,1282.243286,1709.469971,1287.007202,1730.907837,1301.299072,1688.032104,1313.208984,1716.615967,1329.882935,1671.358276,1365.612671,1709.469971,1256.041382,1702.323975,1265.569336,1668.976318,1253.659424,1623.718628,1334.646851,1754.727661,1284.625244,1757.109619,1289.38916,1730.907837,1367.994629,1699.942017,1384.668579
1732.128296,1274.345337,1714.934814,1281.713989,1734.584473,1293.995117,1690.372559,1306.276123,1722.303345,1318.557251,1673.179077,1352.944214,1714.934814,1249.783203,1702.653687,1266.976685,1673.179077,1239.958374,1624.05481,1333.294556,1759.146606,1274.345337,1761.602783,1281.713989,1732.128296,1367.681519,1710.022339,1370.137695
1737.89856,1269.09436,1718.601807,1273.918579,1740.310669,1285.979004,1694.480835,1298.039551,1723.426025,1312.512085,1680.008301,1348.693481,1718.601807,1240.149292,1701.717163,1266.682251,1677.596191,1232.912964,1624.530151,1334.220947,1762.019531,1269.09436,1771.667847,1278.742798,1733.074341,1367.990234,1711.365479,1363.166016
1737.715576,1264.37915,1715.867676,1269.234253,1740.143066,1283.799561,1696.447266,1291.082275,1725.577881,1308.075073,1679.454346,1344.488281,1720.722656,1237.676025,1701.302246,1264.37915,1677.026855,1232.821045,1626.048218,1332.350586,1764.418701,1264.37915,1769.273682,1278.944458,1735.288086,1359.053711,1711.012451,1363.908691
1739.217896,1261.558228,1722.174316,1263.993042,1741.652588,1281.036621,1697.826294,1290.775879,1727.043823,1307.819458,1680.782715,1337.036987,1729.478638,1234.775391,1770.870239,1278.601807,1675.913086,1232.340576,1634.521484,1327.297852,1768.435425,1263.993042,1770.870239,1278.601807,1795.218262,1290.775879,1710.000244,1363.819824
1747.650146,1258.885132,1729.987793,1258.885132,1747.650146,1279.070801,1699.709473,1284.117188,1727.4646,1306.825928,1684.57019,1332.057983,1729.987793,1231.130005,1729.987793,1231.130005,1677.00061,1231.130005,1651.768677,1304.302734,1775.405396,1261.408325,1770.359009,1279.070801,1795.590942,1291.686768,1709.802246,1364.859497
1753.848267,1254.751465,1738.428955,1252.181519,1753.848267,1272.740723,1705.020264,1275.310547,1735.859009,1301.009521,1684.461182,1321.568726,1743.568726,1223.91272,1743.568726,1223.91272,1676.751465,1231.622437,1661.332031,1283.020264,1782.117188,1259.891235,1771.837524,1277.880493,1769.2677,1321.568726,1710.160034,1362.687012
1761.204224,1248.303345,1719.589966,1260.193115,1761.204224,1272.082886,1716.617432,1263.165527,1737.424561,1295.862427,1692.837891,1313.697144,1752.286865,1218.578857,1752.286865,1215.606323,1675.003174,1233.44104,1666.085815,1269.110474,1790.928711,1257.220703,1770.121582,1278.027832,1770.121582,1316.669556,1710.672607,1361.256348
1762.583374,1248.36438,1745.5177,1245.520142,1762.583374,1273.962891,1717.074951,1262.585815,1739.829102,1293.872803,1691.47644,1310.938477,1751.206299,1214.233154,1754.050537,1214.233154,1674.410889,1231.298706,1665.878052,1265.430054,1808.091675,1265.430054,1771.116211,1279.651367,1768.271851,1316.626953,1705.697876,1362.135376
1766.312988,1244.982056,1749.908081,1242.247925,1766.312988,1266.855225,1719.832642,1258.652832,1741.705688,1288.728271,1689.75708,1307.867188,1755.376343,1214.906616,1752.642212,1212.172485,1689.75708,1231.311401,1665.149902,1266.855225,1796.388428,1253.18457,1771.78125,1277.791748,1769.047119,1318.803833,1708.896118,1351.613403
1770.910278,1239.614746,1752.971802,1237.052002,1770.910278,1262.678589,1719.657349,1254.990601,1742.721191,1285.742432,1694.030762,1301.118286,1763.222412,1208.862915,1752.971802,1213.988159,1706.844116,1206.300293,1665.841675,1267.803833,1801.662109,1247.302612,1768.347656,1316.494263,1765.785034,1316.494263,1711.96936,1339.558105
1774.61145,1232.955078,1755.024902,1232.955078,1774.61145,1252.541626,1725.64502,1252.541626,1752.576538,1279.473267,1696.265137,1291.714844,1762.369873,1201.126831,1752.576538,1213.36853,1720.748413,1193.78186,1664.43689,1267.231567,1803.991333,1247.64502,1767.266479,1318.646362,1767.266479,1318.646362,1720.748413,1325.991333
1773.066406,1225.026123,1758.494385,1227.454834,1775.495117,1242.026855,1731.778931,1249.312988,1758.494385,1271.171021,1707.492065,1295.457886,1760.923096,1193.453247,1753.636963,1215.311401,1714.778076,1188.595947,1663.775879,1268.742432,1814.354004,1246.884277,1799.781982,1234.740845,1758.494385,1312.458618,1729.35022,1317.315918
1774.374268,1223.980835,1757.973145,1223.980835,1779.060303,1238.03894,1732.199951,1247.411011,1762.65918,1268.498169,1708.769775,1294.271362,1760.316162,1191.178589,1753.287109,1214.608765,1713.455811,1184.149536,1664.252441,1266.155151,1804.833496,1228.66687,1804.833496,1235.695923,1762.65918,1310.672485,1732.199951,1317.701538
1776.642578,1220.40564,1758.175293,1222.713989,1778.950928,1236.564331,1735.091309,1245.797974,1760.483765,1268.881958,1709.698975,1291.965942,1760.483765,1190.396484,1753.558594,1215.788818,1716.624146,1185.779663,1663.531006,1268.881958,1802.034912,1225.022339,1804.343262,1238.872803,1813.576904,1298.891113,1732.782959,1317.358276
1774.700684,1214.275757,1758.682739,1216.563965,1776.988892,1232.581909,1731.223511,1244.023193,1760.970947,1264.617676,1710.62915,1287.500366,1758.682739,1184.52832,1749.529663,1207.410889,1715.205566,1184.52832,1664.86377,1266.906006,1797.583252,1216.563965,1804.44812,1239.446777,1804.44812,1239.446777,1731.223511,1317.247803
1775.74585,1208.044189,1757.755371,1210.614258,1775.74585,1231.174805,1732.05481,1236.314819,1760.325439,1254.305298,1714.064453,1282.575806,1755.185303,1177.203613,1750.045288,1177.203613,1714.064453,1184.913696,1665.233398,1267.155518,1796.306274,1205.474243,1804.016357,1236.314819,1804.016357,1238.884888,1732.05481,1315.986572
1772.931641,1199.515503,1756.269897,1202.29248,1775.708618,1221.731323,1731.2771,1230.062134,1764.600708,1246.723999,1717.392334,1280.047607,1745.161987,1168.968872,1742.38501,1168.968872,1714.615356,1182.85376,1667.40686,1266.16272,1795.147339,1193.961548,1806.255249,1238.393066,1806.255249,1235.616089,1734.054077,1318.925171
1768.833374,1194.06543,1754.574097,1196.917358,1774.537109,1219.732056,1731.759399,1225.435791,1771.685181,1231.139404,1723.203857,1273.916992,1737.463135,1162.69519,1737.463135,1162.69519,1714.648315,1185.509888,1669.018921,1256.80603,1794.5,1185.509888,1803.05542,1231.139404,1803.05542,1236.84314,1737.463135,1316.694702
1767.828003,1187.961426,1750.885986,1193.608765,1776.299072,1207.727051,1731.120361,1221.845337,1773.475342,1224.669067,1725.473022,1269.847656,1739.591431,1162.548462,1736.7677,1162.548462,1714.178345,1182.314087,1668.999756,1258.552979,1793.240967,1182.314087,1804.535645,1241.610962,1804.535645,1244.434692,1739.591431,1312.202637
1765.090088,1184.832153,1748.442749,1190.381226,1776.188232,1201.479492,1731.79541,1220.901367,1765.090088,1234.774048,1723.47168,1268.068726,1737.344482,1162.635742,1712.373535,1182.057617,1712.373535,1182.057617,1667.980713,1256.970459,1792.835571,1179.282959,1806.708374,1237.548584,1803.933838,1240.323242,1742.893555,1306.912476
1764.071167,1180.209839,1749.5271,1187.481812,1773.767212,1197.177856,1730.13501,1218.993896,1766.495117,1231.114014,1722.863037,1265.050171,1737.406982,1158.393799,1737.406982,1160.817749,1708.31897,1172.937744,1669.53479,1257.778076,1790.735229,1172.937744,1790.735229,1192.329834,1802.855225,1240.810059,1747.103027,1296.562256
1761.788574,1175.011963,1749.572754,1182.341553,1771.561279,1192.114258,1730.027344,1216.545898,1766.674927,1226.318604,1730.027344,1260.522949,1734.913696,1153.023438,1734.913696,1157.90979,1698.266113,1179.898315,1668.94812,1258.079834,1788.663452,1172.568848,1788.663452,1177.4552,1803.32251,1240.977661,1756.902222,1282.511597
1758.712769,1170.023315,1744.323242,1177.218018,1768.305786,1184.41272,1729.933838,1210.793457,1768.305786,1217.988159,1732.332031,1258.758423,1729.933838,1146.040771,1734.730347,1160.430298,1691.56189,1177.218018,1669.977661,1258.758423,1780.296997,1162.828491,1804.279419,1237.174194,1804.279419,1239.572388,1763.509277,1270.749634
1757.248413,1163.866821,1740.338623,1172.321777,1765.703247,1176.549194,1729.77002,1206.141235,1765.703247,1212.482422,1729.77002,1252.643188,1727.65625,1144.843384,1733.997437,1159.639404,1676.927002,1163.866821,1670.585815,1258.984375,1780.499268,1153.298218,1788.954224,1155.411987,1803.750244,1237.847046,1763.5896,1263.211792
1753.667358,1157.689209,1739.338745,1167.241577,1765.60791,1172.017822,1727.398315,1203.06311,1760.831665,1207.839355,1732.174438,1248.437134,1727.398315,1138.584351,1734.562622,1160.077271,1677.248169,1162.465454,1672.471924,1257.989502,1777.548462,1150.524902,1789.488892,1155.301147,1801.429443,1234.108521,1763.219849,1262.765747
1757.512573,1152.932495,1741.82373,1161.897461,1764.236328,1166.380005,1728.376221,1197.757568,1761.994995,1204.481323,1730.617554,1242.58252,1730.617554,1130.52002,1739.58252,1161.897461,1676.827515,1164.138794,1683.55127,1235.858765,1782.16626,1143.967529,1788.890015,1155.173706,1782.16626,1152.932495,1764.236328,1262.753784
1758.586426,1148.479492,1746.313354,1153.388794,1768.404785,1163.207153,1729.131226,1185.298584,1763.495605,1200.026245,1729.131226,1236.845215,1734.040405,1123.933472,1675.129883,1163.207153,1675.129883,1163.207153,1677.584473,1219.663086,1788.041626,1141.115723,1788.041626,1153.388794,1817.496826,1197.571655,1763.495605,1261.391235
1765.521606,1142.396973,1751.20166,1147.170288,1772.681519,1156.716919,1732.108398,1178.196777,1765.521606,1194.90332,1727.335083,1228.316406,1739.268433,1120.917114,1739.268433,1120.917114,1677.215454,1163.876831,1684.375366,1202.063232,1791.77478,1137.623657,1789.388062,1154.3302,1822.80127,1197.289917,1763.134888,1261.729614
1770.224365,1135.606201,1756.049683,1138.44104,1775.894287,1158.285645,1736.205078,1169.625366,1767.389404,1183.800049,1730.535278,1220.654175,1744.709961,1110.091675,1744.709961,1110.091675,1676.671509,1161.120605,1690.846191,1192.30481,1795.73877,1132.77124,1790.068848,1152.615723,1821.253174,1183.800049,1761.719604,1260.343262
1773.366333,1134.566772,1757.002075,1137.294189,1781.548462,1153.658325,1740.637817,1164.567871,1767.911621,1183.659546,1729.728271,1216.387939,1751.547363,1107.292969,1748.819946,1104.565674,1677.908203,1164.567871,1694.272461,1186.386841,1800.640015,1129.112061,1822.458984,1183.659546,1822.458984,1186.386841,1759.729492,1257.298584
1778.484375,1128.454224,1760.229126,1133.669922,1783.700195,1151.925293,1744.581787,1157.140991,1773.268677,1180.612061,1731.542358,1209.29895,1755.013428,1104.983154,1749.797607,1104.983154,1697.639648,1157.140991,1692.423828,1185.827881,1807.171265,1123.238403,1822.818604,1183.219971,1822.818604,1183.219971,1757.621216,1253.633179
1782.000244,1125.648804,1764.842773,1130.550903,1789.353394,1147.708374,1742.783203,1159.963623,1774.647095,1177.121094,1732.979004,1206.533813,1759.940674,1101.138184,1750.136475,1103.589233,1713.370483,1123.197754,1693.761963,1186.925415,1808.961914,1120.746704,1821.217285,1184.474243,1821.217285,1184.474243,1762.391724,1243.299805
1786.658447,1120.404175,1769.499878,1127.757813,1791.560791,1140.013916,1749.890015,1154.721313,1779.304688,1171.879883,1735.182739,1201.294556,1764.597412,1098.34314,1749.890015,1105.696777,1727.829102,1105.696777,1691.060669,1186.587158,1813.621826,1117.952881,1823.426758,1130.209106,1820.975464,1184.135986,1771.95105,1230.709229
1792.913574,1114.109375,1770.701782,1123.981201,1795.38147,1133.853149,1755.894043,1148.660889,1787.977661,1161.000732,1741.086182,1200.488281,1773.1698,1089.429688,1750.95813,1106.705444,1733.682251,1084.493652,1691.726807,1188.148438,1820.061279,1109.173462,1829.933105,1121.513306,1822.529175,1183.212524,1783.041626,1217.764038
1796.255127,1106.607788,1775.401245,1115.876099,1800.889282,1127.46167,1759.181641,1141.364136,1789.303833,1155.266724,1745.279053,1192.34021,1775.401245,1083.43689,1752.230347,1108.924805,1736.01062,1083.43689,1694.302979,1187.706055,1824.060181,1104.290649,1833.328613,1115.876099,1824.060181,1185.388916,1789.303833,1208.559814
