rRP_x,rRP_y,lRP_x,lRP_y,rFP_x,rFP_y,lFP_x,lFP_y,tail_x,tail_y,head_x,head_y,neck_x,neck_y,spine_x,spine_y
227.0,33.0,244.0,48.0,212.0,64.0,228.0,71.0,251.0,26.0,220.0,86.0,220.0,78.0,235.0,41.0
227.0,33.0,244.0,48.0,212.0,70.0,228.0,71.0,251.0,33.0,220.0,93.0,220.0,78.0,228.0,48.0
227.0,33.0,243.0,49.0,212.0,78.0,235.0,78.0,244.0,33.0,220.0,100.0,220.0,78.0,228.0,48.0
220.0,41.0,243.0,55.0,212.0,78.0,235.0,78.0,244.0,33.0,220.0,101.0,220.0,85.0,228.0,49.0
220.0,41.0,243.0,56.0,212.0,78.0,235.0,85.0,244.0,33.0,227.0,101.0,220.0,86.0,227.0,55.0
219.0,48.0,243.0,56.0,219.0,86.0,235.0,86.0,244.0,34.0,227.0,108.0,220.0,86.0,227.0,56.0
219.0,48.0,243.0,56.0,219.0,86.0,235.0,86.0,243.0,34.0,227.0,108.0,220.0,93.0,227.0,56.0
219.0,48.0,243.0,56.0,219.0,86.0,235.0,86.0,243.0,34.0,227.0,108.0,220.0,93.0,227.0,56.0
220.0,48.0,243.0,56.0,212.0,86.0,228.0,93.0,236.0,41.0,220.0,108.0,220.0,93.0,227.0,63.0
219.0,56.0,236.0,63.0,212.0,93.0,228.0,93.0,235.0,41.0,220.0,116.0,220.0,101.0,227.0,63.0
212.0,63.0,236.0,64.0,212.0,101.0,228.0,101.0,228.0,48.0,227.0,116.0,220.0,108.0,227.0,71.0
212.0,63.0,235.0,64.0,211.0,108.0,228.0,108.0,227.0,48.0,220.0,124.0,220.0,108.0,220.0,78.0
211.0,63.0,235.0,64.0,211.0,108.0,228.0,108.0,227.0,48.0,220.0,131.0,220.0,116.0,220.0,78.0
212.0,64.0,235.0,71.0,211.0,109.0,228.0,109.0,227.0,56.0,220.0,131.0,220.0,116.0,220.0,85.0
211.0,78.0,235.0,78.0,211.0,116.0,228.0,116.0,227.0,56.0,220.0,138.0,220.0,116.0,220.0,86.0
211.0,78.0,235.0,85.0,211.0,116.0,228.0,116.0,220.0,63.0,227.0,138.0,220.0,123.0,220.0,93.0
211.0,79.0,228.0,85.0,212.0,123.0,228.0,123.0,220.0,63.0,227.0,138.0,220.0,123.0,220.0,93.0
211.0,86.0,228.0,86.0,212.0,123.0,228.0,123.0,220.0,71.0,227.0,145.0,220.0,131.0,219.0,100.0
211.0,93.0,235.0,93.0,212.0,130.0,235.0,130.0,227.0,71.0,228.0,146.0,220.0,131.0,220.0,101.0
211.0,93.0,235.0,94.0,219.0,131.0,235.0,131.0,227.0,71.0,228.0,146.0,227.0,138.0,220.0,108.0
